player_name,player_id,season,attempts,custom_rating,efficiency_score,impact_score,consistency_score,volume_score,ball_security_score,pressure_score,mobility_rating,aggression_rating,accuracy_rating,ball_security_rating,pocket_presence_rating,playmaking_rating,total_pass_epa,cpoe,pass_success_rate,turnover_rate,sack_rate,qbr_rating,elo_rating
D.Maye,00-0039851,2025,475.0,83.96376154036757,90.12591020160468,80.28136505403685,81.99164328065532,67.65779916422758,81.94313615092022,83.94362733458159,65.27792233618729,83.04103839854739,100.0,90.05820118994491,78.98480531823841,93.5610007243875,130.25341227212337,9.623186177802536,0.5284210526315789,0.011811023622047244,0.07874015748031496,72.7,212.591
J.Love,00-0036264,2025,425.0,84.90891875465397,86.57370994535235,84.90705369974587,87.28341120118812,63.464217609760894,92.13868309395804,79.80667017383993,60.499605871197666,85.1031008639086,90.42032076317895,93.24977221405041,88.00850949049467,94.17805377303198,120.71460586009282,5.682517439950237,0.5105882352941177,0.008948545861297539,0.040268456375838924,70.0,208.769
P.Mahomes,00-0033873,2025,554.0,79.96712983786921,82.38060217680379,76.69995820955342,76.18364727036293,69.04876272253291,85.7072014277434,92.12578958877924,70.31271971249818,73.80141834802129,78.22295178261408,83.5280334670491,90.97104853677648,87.71800014185726,100.41903447618249,0.6650435311148898,0.5018050541516246,0.0176678445229682,0.05123674911660778,71.9,251.012
J.Allen,00-0034857,2025,455.0,81.53803111790796,83.66477856000243,77.59560876761748,83.07499596450941,70.22786483753191,82.21833227537162,87.77931752640009,72.50563749805909,74.43350542115655,85.34432037715115,80.97226450366922,85.74729792616805,89.97367729721458,98.80198316456399,3.5944688174387682,0.5010989010989011,0.01996007984031936,0.06187624750499002,58.1,277.916
M.Stafford,00-0026498,2025,450.0,82.07476010964335,84.81977865441532,83.13164894979664,79.98488465352173,64.37588540604281,93.33569703819705,68.80144083371113,50.8632321428624,88.48541285954349,83.85656527467106,93.77823312677714,83.76448856027613,89.37636069009721,93.4400451705877,2.982470244523182,0.5311111111111111,0.00847457627118644,0.036016949152542374,69.7,243.521
D.Prescott,00-0033077,2025,527.0,81.63261185175547,82.32686652837808,83.9237705726394,80.54767558151244,66.37587783778787,88.0513369840817,82.44691475295178,59.4879929935434,79.3861833040956,85.51392260136777,82.91804371614238,89.37675167905034,86.75770906828703,87.47387738108999,3.664235890669338,0.48956356736242884,0.018214936247723135,0.04007285974499089,74.0,244.413
J.Goff,00-0033106,2025,442.0,79.54676919681043,82.5736874933156,77.08891168274789,80.77141073188257,63.54643594005614,86.68330515666642,68.76278594911908,56.35075141480898,80.49275031342293,85.51283875559464,90.89339774071865,76.91494963411338,87.89495867323512,81.36204143047974,3.66379004305281,0.5,0.011061946902654867,0.059734513274336286,54.8,213.415
S.Darnold,00-0034869,2025,377.0,80.48679847089736,85.36722907995359,73.90101924081802,84.96410764350237,62.64542689106756,82.72220290233348,68.87559272017762,58.56923326895201,97.25506364214345,91.86599380296633,71.69845693738266,81.58820293564852,88.67771997986563,74.09177808942165,6.277205259052675,0.53315649867374,0.028277634961439587,0.043701799485861184,69.2,196.143
D.Jones,00-0035710,2025,431.0,79.41056784544332,81.12700354993602,73.89881732407522,83.40986512337341,64.01961026040178,86.37219307215946,78.13620584669997,61.98475552864495,80.55304591944073,82.19054718488917,83.58010152197232,84.8199523951894,85.81777118415667,65.09443711503373,2.2971419322906166,0.5034802784222738,0.01762114537444934,0.048458149779735685,65.9,222.199
B.Nix,00-0039732,2025,512.0,77.89761320672056,74.95809994985048,78.40460969247894,80.77349398670644,64.53083038072609,91.29411857083787,81.39287195234058,63.01367829895733,69.18604716881946,72.9472953100393,84.81479911061321,91.93879767985925,83.0185042779687,54.52688489771488,-1.5051350332378002,0.44140625,0.01651376146788991,0.029357798165137616,53.5,188.985
M.Jones,00-0036972,2025,312.0,78.25458862556266,81.43896612898504,72.2792191006535,83.70163653883027,57.23139282972584,86.51786133283181,66.91341856151212,57.21760701248181,75.52805379156882,85.54876103128049,83.3760524283959,79.5257965620243,84.52190015442993,40.68955767409059,3.6785669249596356,0.5224358974358975,0.017804154302670624,0.04747774480712166,64.6,197.377
C.Williams,00-0039918,2025,487.0,75.4946403085817,72.50592680216013,74.0577626689849,76.3585503678988,65.26377000675033,91.34821716071247,84.61693160976002,66.27617936255626,73.59233666897742,65.73724553443317,90.31242731072456,90.87628526843663,81.46570969413568,39.833928495452106,-4.471039949958004,0.4394250513347023,0.011583011583011582,0.03861003861003861,55.3,187.25
C.Stroud,00-0039163,2025,353.0,75.28652204940252,75.78249940309645,71.00741782781614,78.29466540322056,59.0692286516625,84.10190305481855,80.95817266590942,63.21888823369472,74.62530480728336,78.05148731700372,84.84852129950646,82.77168036245467,82.90812226682701,36.97384193444028,0.594510411729618,0.45609065155807366,0.016483516483516484,0.06043956043956044,65.6,167.544
J.Hurts,00-0036389,2025,399.0,76.90549523589812,76.35246237581663,74.40097385368364,78.32197272356049,64.80321005253919,89.6783235732469,77.03744410399155,66.61504617397273,76.59964502821434,86.96460725333196,98.30451834298725,81.06452564994144,82.0776532249194,36.52042374042862,4.260985271849499,0.43609022556390975,0.004415011037527594,0.059602649006622516,58.8,202.281
J.Herbert,00-0036355,2025,466.0,76.15935692712407,76.61117632020743,70.45287115787394,82.26770539005207,65.52240600113379,78.49468365649228,79.36888105336914,69.0037967746976,71.27649491315482,79.27008445171671,80.56516359374248,77.14489849011116,79.93934500530301,26.800442012167053,1.0957889529089853,0.47639484978540775,0.02032520325203252,0.07723577235772358,60.4,173.831
J.Dart,00-0040691,2025,277.0,74.02617233370512,73.1421253507065,67.99866409090204,79.36849323855529,59.832222273994354,84.15496646851156,81.85888024805733,67.81059216299712,68.1345037513331,76.12640033600786,92.54052026447135,79.46306743150996,79.75645165904818,15.124765032200173,-0.1973877193161805,0.4404332129963899,0.009584664536741214,0.07348242811501597,64.7,221.684
B.Mayfield,00-0034855,2025,477.0,73.95269443454013,70.3669814748448,72.97343715275277,75.98008923956199,63.922736779466796,88.58012612058656,83.74629248878831,66.03625178316389,70.308076961759,66.71977261286084,89.51849163845367,87.39957509802638,78.01871184202487,12.858226879128125,-4.0668704943491685,0.4276729559748428,0.012295081967213115,0.04918032786885246,60.9,213.6
M.Penix,00-0039917,2025,303.0,73.73152702781731,72.47574654875173,70.92558016429405,75.53352705466396,56.19596792555318,91.47228487962471,77.21240772506792,57.48916698943121,78.03772352184235,67.80691305078862,92.4717961874176,86.27819586946467,78.49524033899979,10.464865906110543,-3.6196675941799628,0.46204620462046203,0.00964630225080386,0.04180064308681672,56.4,138.634
