player_name,player_id,season,composite_rating,predicted_qbr,predicted_elo,attempts,total_pass_epa,pass_success_rate,cpoe,rush_attempts,rush_yards_per_game,total_rush_epa,total_wpa,third_down_success,red_zone_epa
J.Love,00-0036264,2025,72.84949873077811,76.36324443758284,232.0978136063672,399.0,112.68728250239012,0.5087719298245614,5.251268765567678,41.0,9.647058823529411,6.776319302948801,4.454724101350285,0.504424778761062,0.3890296971201121
M.Stafford,00-0026498,2025,68.90852761234879,69.7709304634611,232.24149532310065,419.0,78.03036956479542,0.522673031026253,2.8972056813729115,25.0,-0.5882352941176471,-30.222097535879584,2.694576947824658,0.40594059405940597,0.08136505864010009
D.Prescott,00-0033077,2025,68.57010712442082,69.49576939202944,230.5141589796621,472.0,88.68596089549057,0.4936440677966102,3.9332070350646973,41.0,7.294117647058823,-4.637908955810051,4.174511492256895,0.4375,-0.052439744748064225
D.Maye,00-0039851,2025,66.84868644395308,71.76702948652127,199.7774154832984,475.0,130.25341227212337,0.5284210526315789,9.623186177802536,82.0,18.764705882352942,2.66235708865151,3.2366679646090004,0.47368421052631576,0.038729800796646285
P.Mahomes,00-0033873,2025,65.21372975295243,65.52707010081045,220.79578755638352,513.0,118.50808737441538,0.5087719298245614,1.7415989243813108,55.0,20.470588235294116,22.58927191980183,2.4612530813679747,0.40336134453781514,0.0785793902711998
S.Darnold,00-0034869,2025,64.65130422952099,66.37968512003347,210.0924143871497,343.0,63.13408084456681,0.5306122448979592,6.9206268181566335,16.0,2.8823529411764706,-5.963735855406855,1.1587478844004617,0.4791666666666667,0.029890660186692397
D.Jones,00-0035710,2025,63.257352288492456,63.80606304482221,211.58951201975933,423.0,66.44986855642601,0.5035460992907801,2.180969462694366,44.0,9.235294117647058,16.283071733502148,1.601892975504456,0.46534653465346537,0.18539862862380513
J.Goff,00-0033106,2025,63.21261341524596,61.094391246711176,227.3582740513291,407.0,69.16403168737425,0.5012285012285013,3.1534700757927365,13.0,2.7058823529411766,-4.635510808360331,1.4201013169278132,0.3898305084745763,0.24914163879893303
B.Purdy,00-0037834,2025,60.20750005524416,64.28914613527304,178.30621629243143,173.0,22.532846637328337,0.5086705202312138,4.836793451119733,16.0,2.5294117647058822,5.473056099348469,1.0163230222767115,0.5686274509803921,0.4183745514120016
J.Allen,00-0034857,2025,59.55738177058777,58.030452715360525,209.2514576770597,418.0,74.94329787827026,0.4880382775119617,2.890625010487621,78.0,24.058823529411764,29.394460673490897,1.471375467498596,0.4715447154471545,0.11453130580243066
M.Jones,00-0036972,2025,59.53155769465202,61.37815663995864,188.97627132218255,312.0,40.68955767409059,0.5224358974358975,3.6785669249596356,33.0,3.7058823529411766,-2.2269551512685997,1.6330977624273544,0.4069767441860465,0.5002077677046569
J.Hurts,00-0036389,2025,58.75091319031081,58.895749622259345,196.0401319951664,399.0,36.52057657558539,0.43609022556390975,4.260985271849499,84.0,19.352941176470587,8.01820836076513,1.0556030614175158,0.3779527559055118,0.36903559338456365
M.Mariota,00-0032268,2025,57.016810818418016,60.56398545312051,168.78282832539935,214.0,18.608673425162742,0.49065420560747663,4.093334899189767,37.0,14.588235294117647,9.822243158219564,-0.45034239987668945,0.45614035087719296,-0.01444719289666836
B.Mayfield,00-0034855,2025,56.51754406399128,57.18465090928696,184.01412447785822,442.0,20.924224959866272,0.4343891402714932,-3.142504560503554,37.0,14.294117647058824,24.947882731529347,1.2278328868977462,0.4076923076923077,-0.013146209335162987
C.Stroud,00-0039163,2025,55.78306324683047,58.72671491826499,167.4734498126446,318.0,36.923307596332016,0.46855345911949686,1.2716935480132086,30.0,11.117647058823529,21.519109102413736,0.4530210946960658,0.43373493975903615,-0.19643732362650254
J.Herbert,00-0036355,2025,55.5459856389769,57.91857512967626,169.94307404705674,466.0,26.800442012167057,0.47639484978540775,1.0957889529089853,58.0,20.764705882352942,13.479402626682917,0.9121614951086295,0.48905109489051096,0.014631547918643007
B.Nix,00-0039732,2025,55.528075780411484,56.087339549311224,180.71458394789215,469.0,45.512763398184646,0.42857142857142855,-2.58213783316041,52.0,13.470588235294118,4.257060390400209,2.442664999849974,0.4246575342465753,0.2288113430815172
J.Brissett,00-0033119,2025,54.64221309091374,56.543677599337,169.1574182429058,345.0,10.00368434519285,0.48405797101449277,4.6064500237854435,27.0,6.823529411764706,5.457192165544257,-0.9808072847272429,0.4625,-0.12294451654972371
C.Williams,00-0039918,2025,53.76474314205521,54.016600672179784,175.52342840145317,448.0,37.73428237885822,0.4419642857142857,-4.944552887569774,61.0,18.0,1.177573140343628,1.1799932205936021,0.44881889763779526,-0.16387033953922528
J.Dart,00-0040691,2025,52.19149629266217,53.86038946120812,160.77860850687276,277.0,15.124765032200173,0.4404332129963899,-0.1973877193161805,61.0,19.823529411764707,24.133806094236206,0.543876043611786,0.4606741573033708,0.062027749564176726
L.Jackson,00-0034796,2025,51.27736613418796,54.647461525222674,146.96208399428158,279.0,6.829959167792771,0.46236559139784944,2.171569420110195,52.0,15.529411764705882,13.930756932068288,0.3670700623885673,0.34523809523809523,-0.2321841811159287
M.Penix,00-0039917,2025,50.557861227705445,51.419092626471,159.0957888645927,303.0,10.464865906110543,0.46204620462046203,-3.6196675941799628,21.0,4.117647058823529,7.111840018449584,0.834342091320552,0.3375,0.3977912421342707
S.Rattler,00-0039376,2025,48.9899699518873,50.09581623543073,151.3828885354201,287.0,-28.135414688422564,0.45993031358885017,2.356776996534698,32.0,9.823529411764707,8.639880268587266,-1.1311203329580957,0.35526315789473684,-0.03630140134379309
